원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W1x-P3,part-03.html,37,PART 3 · 요청 잘하는 법과 첫 페이지 만들기,무엇을 지시하고 무엇을 제공할지 정한 뒤 실제로 만든다,파트 구분자,파트 디바이더,본편,1차시,part-04,1,M1+M2,"제목 «요청 잘하는 법과 첫 페이지 만들기»→«첫 웹 결과물 만들기» / 부제 «무엇을 지시하고 무엇을 제공할지 정한 다음, 폴더를 열어 실제로 첫 페이지를 만듭니다»→«무엇을 지시하고 무엇을 제공할지 정한 다음, 폴더를 열어 실제로 타자 게임을 만듭니다»",part-divider 클래스 유지,0.4,브리프 §4 M1 · 결과물이 타자 게임으로 교체됨
VC-W1x-S3PE,part-03.html,38,Prompt Engineering · 프롬프트 엔지니어링,무엇을 지시할 것인가 — 명확성·역할·조건·출력형식,요청 설계 개념,이미지+4요소+예시 대비,본편,1차시,part-04,2,M1+M2,하단 예시 교체: «이렇게 쓰면 “자기소개 페이지 만들어줘”»→«이렇게 쓰면 “타자 게임 만들어줘”» / «너는 웹페이지를 만드는 제작자야 / 나를 소개하는 한 페이지를 만들려고 해 / index.html 한 파일에 HTML과 CSS를 같이 넣어 / 브라우저에서 바로 열리는 한 페이지로 만들어»→«너는 웹 게임을 만드는 제작자야 / 브라우저에서 실행하는 타자 게임을 만들려고 해 / index.html 한 파일에 HTML·CSS·JavaScript를 같이 넣어 / 브라우저에서 바로 열리는 한 파일로 만들어» / 킥커(s-team) «PART 3<br>요청 설계»→«PART 4<br>요청 설계»,명확성·역할·조건·출력형식 4요소 카드와 s3pe_prompt-four-elements-v1.png 유지 · 2차시 «Prompt Engineering» 개념 심화와 중복되므로 1차시는 예시 중심 — 결정요청 D-04,1.8,슬라이드지침 «복사할 프롬프트는 목적·입력·출력·검증 기준으로 분해»의 선행 개념
VC-W1x-S3LM,part-03.html,39,Lost in the Middle · 중간 유실 현상,긴 문맥의 중간 정보는 누락된다,AI 한계 개념,산문+논문 차트,제외,없음,없음,없음,M3,제외(2차시 이관) — 커리큘럼_기준안 2차시 개념 목록에 «Lost in the Middle»이 명시되어 있다. 1차시에 두면 2차시와 중복된다,Liu et al. TACL 12(2024) 출처와 차트 수치를 2차시 매핑 담당에게 그대로 인계 — 재작성하지 말 것,0,브리프 §4 M3(제외 주제·중복 제거) · 커리큘럼_기준안 차시별 개념 배정
VC-W1x-S3CE,part-03.html,40,Context Engineering · 컨텍스트 엔지니어링,무엇을 제공할 것인가 — 배경·자료·기준·제약,요청 설계 개념,이미지+4요소+예시 대비,제외,없음,없음,없음,M3,제외(2차시 이관) — 커리큘럼_기준안 2차시 개념 «Context Engineering: 프로젝트 설명·자료·규칙·오류 메시지»가 정본이다,4요소(배경 정보·참고 자료·판단 기준·제약 조건) 카드와 예시 대비 구조를 2차시 담당에게 인계 · 1차시는 S3PE와 M6-05만으로 요청 설계를 다룬다,0,브리프 §4 M3(제외 주제·중복 제거) · 커리큘럼_기준안 차시별 개념 배정
VC-W1x-18,part-03.html,41,참고하는 방식의 차이 — 맥락과 메모리는 다릅니다,"맥락은 지금 들어온 정보, 메모리는 남긴 정보",AI 한계 개념,이미지+2열 대비,제외,없음,없음,없음,M3,제외(2차시 이관) — 커리큘럼_기준안 2차시 개념 «Context와 Memory»가 정본이다,«모든 대화를 자동으로 기억하거나 항상 정확하게 불러오는 기능은 아닙니다» 유보 문장을 2차시 담당에게 인계,0,브리프 §4 M3(제외 주제·중복 제거) · 커리큘럼_기준안 차시별 개념 배정
VC-W1x-S3SY,part-03.html,42,Sycophancy · 아첨 현상,AI는 사실보다 사용자가 듣고 싶어 하는 답을 주려 한다,위험 개념(2/3),대화 재현 2쌍+출처,본편,1차시,part-02,3,M1,킥커(s-team) «PART 3<br>AI의 한계»→«PART 2<br>AI의 한계» — 이 한 곳 외에는 그대로 복사,Sharma et al. arXiv:2310.13548 출처 표기 · «잘 모르는 영역일수록 못 알아챕니다» 결론 문장 필수 유지,1.8,커리큘럼 1차시 개념 «아첨 현상» 직결 · 출처 있는 사실이므로 불변
VC-W1x-S3SYP,part-03.html,43,요청문으로 기울일 수 있습니다,아첨을 없애지는 못하고 기우는 정도만 줄인다,대응 도구·되묻기,프롬프트 블록+유보,본편,1차시,part-02,4,M1+M4,"«2주차 기획서 검토, 3주차 공개 전 점검»→«2차시 뉴스 기사 검증, 3차시 대시보드 숫자 대조» / 킥커(s-team) «PART 3<br>아첨 막기»→«PART 2<br>아첨 막기»",«이 요청문이 아첨을 없애지는 못합니다» 과장하지 않기 블록 반드시 유지 · 5줄 요청문 원문 유지,1.3,브리프 §4 M4(상호참조) · 커리큘럼 2·3차시 실습과 정합
VC-W1x-S3HUM,part-03.html,44,"판단은 사람이, 실행은 AI가",«해줘»와 «해»의 차이는 판단을 누가 했느냐다,핵심 메시지 선언,2블록 대비+인용 2,본편,1차시,part-02,6,M1,킥커(s-team) «PART 3<br>사람의 역할»→«PART 2<br>사람의 역할» — 이 한 곳 외에는 그대로 복사,Sean Grove(OpenAI)·Andrej Karpathy 인용 2건과 출처 표기 유지 · «AI에게 넘기는 것은 판단이 아니라 실행» 결론 유지,1.3,"브리프 §3 핵심 메시지 «AI가 작성하고, 사람이 검토하고, 사람이 결정한다»의 정면 대응"
VC-W1x-S3DO,part-03.html,45,해.,판단을 마친 사람의 요청은 한 글자로 달라진다,전환 선언(수미상관),초대형 텍스트 전면,본편,1차시,part-02,7,없음,그대로 복사,S01B(«해줘.»)와의 대구 구조 유지 — 두 장이 함께 있어야 의미가 성립,0.2,S01B·S01C와 3장 1세트 · 도구 비종속
VC-W1x-S3ITR,part-03.html,46,한 번에 끝내려 하지 않습니다,"첫 요청은 구체적으로, 결과는 반복 수정으로",작업 방식 개념,4단 흐름도,본편,1차시,part-04,4,M1,킥커(s-team) «PART 3<br>작업 방식»→«PART 4<br>작업 방식» — 이 한 곳 외에는 그대로 복사,«첫 요청 작성 → 결과물 실행 → 문제 확인 → 반복 수정» 4단 흐름 유지 — 원문01의 «요청 → 결과 확인 → 수정 요청 → 다시 확인»과 동일,1.0,원문01 L134 기본 흐름
VC-W1x-S28A,part-03.html,47,만들기 전에 성공 모습 쓰기,무엇이 열리고 무엇이 보이며 무엇을 확인하면 끝인지,완료 기준 선언,터미널+3체크,본편,1차시,part-04,10,M1+M2,"체크 3항 «브라우저에서 페이지가 열림/활동명·소개·관심사가 보임/글자가 잘리고 밀리지 않음»→«브라우저에서 게임이 열림/단어와 입력칸이 보임/입력하면 점수가 오름» / 터미널 라벨 «Codex · success-criteria»→«Antigravity · success-criteria» / 터미널 문장 «브라우저에서 index.html이 열리고, 활동명·한 줄 소개·관심사 2~3개가 보이며, 글자가 잘 읽히면 첫 생성 성공입니다.»→«브라우저에서 index.html이 열리고, 단어와 입력칸이 보이며, 단어를 맞게 입력하면 다음 단어로 넘어가면 첫 생성 성공입니다.» / 킥커(s-team) «PART 3<br>성공 기준»→«PART 4<br>성공 기준»",«성공 기준은 결과를 검수하는 약속입니다» 정의 문장 유지 — M6-05의 «검증» 칸과 짝,1.2,커리큘럼 1차시 개념 «AI의 완료 선언과 실제 완료의 차이» 선행 · 브리프 §4 M2
VC-W1x-S3PRV,part-03.html,48,정보마다 판단이 다릅니다,입력 금지 / 검토 후 결정 / 목적에 따라 사용 3단계,안전 개념(개인정보),이미지+3단 위험도,본편,1차시,part-03,12,없음,그대로 복사 / 킥커(s-team) «PART 3<br>개인정보» 유지(part-03 = 새 PART 3과 일치) — 바꾸지 않는다,«무조건 금지가 아닙니다 … 스스로 판단합니다» 결론 유지 — 3단계 판단 구조가 핵심,1.2,커리큘럼 1차시 개념 «개인정보·민감정보» 직결 · 도구 비종속
VC-W1x-29,part-03.html,49,확인할 수 있는 요청 — 기준이 있으면 결과를 따져 볼 수 있습니다,좋은 요청은 길어서가 아니라 비교할 수 있어서 좋다,요청 품질 대비,2열 대비,본편,1차시,part-04,5,M1+M2,구체적인 요청 열 «색·글자·여백·배치를 말합니다»→«단어 수·제한 시간·점수 규칙·글자 크기를 말합니다» / «제공하지 않은 경력·연락처는 만들지 말라고 적습니다»→«요청하지 않은 기능(순위표·로그인)은 만들지 말라고 적습니다» / 킥커(s-team) «PART 3<br>요청 비교»→«PART 4<br>요청 비교»,«좋은 요청은 길어서가 아니라 원하는 결과와 실제 결과를 비교할 수 있어서 좋습니다» 결론 유지,1.0,커리큘럼 1차시 실습3 · 결과물 교체에 따른 예시 정합
VC-W1x-30,part-03.html,50,첫 페이지에서 반드시 지킬 것 — 세 조건은 생략하지 않습니다,추가 설치 없음 / 한 파일 / 외부 라이브러리 없이,실습 제약 선언,3항목 번호 카드,본편,1차시,part-04,6,M1+M2,"제목 «첫 페이지에서 반드시 지킬 것»→«첫 결과물에서 반드시 지킬 것» / «02 HTML·CSS 한 파일»→«02 HTML·CSS·JavaScript 한 파일» / «03 JavaScript는 필요할 때만 / 반응이 꼭 필요한 경우에만 같은 파일 안에 넣습니다»→«03 외부 라이브러리 없이 / 게임 동작은 같은 파일 안의 JavaScript로만 만듭니다» / 하단 «index.html 한 파일로 만들고, 브라우저에서 직접 열 수 있게 해 주세요.»는 그대로 / 킥커(s-team) «PART 3<br>필수 조건»→«PART 4<br>필수 조건»",«01 추가 설치 없음»은 그대로 · 타자 게임은 JavaScript가 필수이므로 «필요할 때만» 조건을 그대로 두면 요청문과 모순됨,1.0,커리큘럼 1차시 실습3 «웹 타자 게임» — 동작에 JS 필수 · 브리프 §4 M2
VC-W1x-31,part-03.html,51,완료된 화면에서 직접 확인,화려함보다 필수 내용과 실행을 먼저 본다,완료 점검 항목,4항목 체크 격자,본편,1차시,part-04,11,M1+M2,4항목 교체: «활동명/누구의 페이지인지 보입니다»→«단어 표시/메모한 단어가 화면에 나옵니다» · «한 줄 소개/내가 제공한 문장과 같습니다»→«입력칸/글자를 칠 수 있습니다» · «관심사 2~3개/공개 가능한 정보만 있습니다»→«점수/맞으면 점수가 오릅니다» · «깨짐 없음/글자가 잘리거나 밀리지 않습니다»는 그대로 / 하단 «내가 주지 않은 경력·연락처가 새로 만들어지지 않았는지도 함께 확인합니다»→«요청하지 않은 기능이 새로 만들어지지 않았는지도 함께 확인합니다» / 킥커(s-team) «PART 3<br>완료 기준»→«PART 4<br>완료 기준» / aria/alt: aria-label «자기소개 페이지의 네 가지 완료 기준을 보여 주는 브라우저 화면»→«타자 게임의 네 가지 완료 기준을 보여 주는 브라우저 화면»,«화려함보다 필수 내용과 실행을 먼저 봅니다» 우선순위 문장 유지 · index.html 파일명 표시 유지,1.0,커리큘럼 1차시 실습4·5 · 브리프 §4 M2
VC-W1x-S34,part-03.html,52,프로젝트 폴더 만들기 — about-me 폴더를 만듭니다,연습 폴더와 분리된 프로젝트 폴더를 만든다,실습 단계(제작 1/6),경로 트리,실습안내,1차시,part-04,7,M2,«about-me»→«typing-game»(제목·본문·확인 주소·트리 항목·aria-label 5곳 — 슬라이드 안 about-me 출현 총 5회) / 확인 주소 «C:\VibeCoding\about-me\»→«C:\VibeCoding\typing-game\» / aria/alt: aria-label «VibeCoding 폴더 안에 about-me 프로젝트 폴더가 있는 구조»→«VibeCoding 폴더 안에 typing-game 프로젝트 폴더가 있는 구조»,«다른 연습 파일과 섞이지 않게 합니다» 조건과 파일 탐색기 트리 도해 유지,0.8,커리큘럼 1차시 실습2 «안전한 프로젝트 폴더 생성»
VC-W1x-S35,part-03.html,53,Codex에서 작업공간 선택 — 만든 폴더를 Codex로 엽니다,Agent는 지금 연 폴더 안의 파일만 작업 대상으로 본다,실습 단계(제작 2/6),앱 UI 목업,실습안내,1차시,part-04,8,M2,제목 «Codex에서 작업공간 선택»→«Antigravity에서 프로젝트 폴더 선택» / «만든 폴더를 Codex로 엽니다»→«만든 폴더를 Antigravity로 엽니다» / UI 목업 «Codex»→«Google Antigravity»(«프로젝트 폴더 열기»는 일반 표현이므로 유지) / 경로 «C:\VibeCoding\about-me»→«C:\VibeCoding\typing-game» / «Codex는 지금 연 폴더 안의 파일만 작업 대상으로 봅니다»→«Agent는 지금 연 폴더 안의 파일만 작업 대상으로 봅니다» / «현재 작업공간 이름이 about-me인지»→«현재 작업공간 이름이 typing-game인지» / aria/alt: aria-label «Codex 데스크톱 앱에서 프로젝트 폴더를 여는 화면»→«Google Antigravity에서 프로젝트 폴더를 여는 화면»,«어디를 여나요 / 왜 확인하나요 / 화면에서 볼 것» 3문답 구조 유지 · UI 목업은 실제 화면이 아니므로 «예시 화면» 표기 필요 — 결정요청 D-02,1.2,브리프 §4 M2
VC-W1x-S36,part-03.html,54,요청하기 전 마지막 확인 — 목표 경로와 현재 작업공간을 맞춥니다,두 이름이 같을 때만 시작한다,실습 단계(제작 3/6),경로 대조 도해,실습안내,1차시,part-04,9,M2,«about-me»→«typing-game»(목표 경로 브레드크럼·현재 폴더 2곳) / «Codex 현재 폴더»→«Antigravity 현재 폴더»,«두 이름이 같으면 시작합니다. 다르면 실행 전에 올바른 폴더를 다시 엽니다» 게이트 문장 유지,0.8,브리프 §4 M2 · 실행 전 확인은 강제 메시지 5와 연동
VC-W1x-32,part-03.html,55,첫 제작 요청을 완성합니다,목적·내용·조건·확인 네 가지를 한 요청에 담는다,실습 단계(제작 4/6)·핵심 프롬프트,4필드+터미널,실습안내,1차시,part-04,12,M1+M2,"4필드 라벨·값 교체: «목적 · 자기소개 웹페이지 만들기»→«목적 · 브라우저에서 실행하는 타자 게임 만들기» · «내용 · 활동명·한 줄 소개·관심사»→«입력 · 내가 메모한 단어 5~10개» · «조건 · index.html 한 파일, 추가 설치 없음»→«출력 · index.html 한 파일, 추가 설치 없음» · «확인 · 브라우저에서 직접 열기»→«검증 · 단어가 보이고 입력하면 점수가 오른다» / 터미널 프롬프트 전문 교체: «현재 프로젝트 폴더에 index.html 한 파일로 타자 게임을 만들어 주세요. / 아래 단어 목록을 화면에 하나씩 띄우고, 입력칸에 맞게 치면 다음 단어로 넘어가게 해 주세요. / 단어 목록: [내가 메모한 단어 5~10개] / HTML·CSS·JavaScript는 같은 파일에 작성하고, 설치·빌드·서버·프레임워크는 사용하지 마세요. / 브라우저에서 직접 열 수 있게 해 주세요. / 요청하지 않은 기능(순위표·로그인·서버 저장)은 만들지 마세요.» / 라벨 «Codex · C:\VibeCoding\about-me»→«Antigravity · C:\VibeCoding\typing-game» / 킥커(s-team) «PART 3<br>첫 제작 요청»→«PART 4<br>첫 제작 요청» / aria/alt: aria-label «Codex에 입력할 상세 자기소개 페이지 제작 요청»→«Antigravity에 입력할 상세 타자 게임 제작 요청»",4필드 라벨을 M6-05의 «목적·입력·출력·검증»과 동일 어휘로 통일할 것 · «요청하지 않은 것은 만들지 마세요» 조항 유지(할루시네이션 억제),2.2,원문01 L109 «브라우저에서 실행할 수 있는 간단한 타자 게임을 만들어줘» · 슬라이드지침 프롬프트 분해
VC-W1x-S38,part-03.html,56,Codex가 만든 실제 결과물 — 프로젝트 바로 안의 index.html을 찾습니다,이 파일 하나가 실제 결과물이다,실습 단계(제작 5/6),파일 트리 목업,실습안내,1차시,part-04,14,M2,제목 «Codex가 만든 실제 결과물»→«Agent가 만든 실제 결과물» / 트리 «▾ about-me»→«▾ typing-game» / 파일 위치 «C:\VibeCoding\about-me\»→«C:\VibeCoding\typing-game\» / aria/alt: aria-label «about-me 프로젝트 루트에 index.html이 있는 파일 트리»→«typing-game 프로젝트 루트에 index.html이 있는 파일 트리»,«이 파일 하나가 실제 결과물입니다»·«다른 파일 없이 한 파일로 시작» 유지 — 커리큘럼 «생성 파일·변경 내역 확인»의 정면 대응,1.2,커리큘럼 1차시 실습4 · 브리프 §4 M2
VC-W1x-S39,part-03.html,57,파일을 브라우저로 열기 — 첫 페이지가 실제로 보이는지 확인합니다,파일이 열리고 필수 내용이 보이고 깨지지 않았는가,실습 단계(제작 6/6),브라우저 목업+3체크,실습안내,1차시,part-04,15,M2,"제목 «첫 페이지가 실제로 보이는지 확인합니다»→«타자 게임이 실제로 동작하는지 확인합니다» / 주소 «C:\VibeCoding\about-me\index.html»→«C:\VibeCoding\typing-game\index.html» / 브라우저 목업 내용 «ME / MY FIRST PAGE / HELLO, I AM / 이름 또는 활동명 / 나를 소개하는 한 문장 / 관심사 1·2·3»→«TYPING GAME / 화면 중앙 단어 / 입력칸 / 점수 0 / 남은 단어 수» / 3체크 «✓ 파일이 열림 / ✓ 필수 내용이 보임 / ✓ 글자와 배치가 깨지지 않음»→«✓ 파일이 열림 / ✓ 단어와 입력칸이 보임 / ✓ 입력하면 점수가 오름» / aria/alt: aria-label «자기소개 페이지가 열린 브라우저 예시»→«타자 게임이 열린 브라우저 예시»",브라우저 크롬(주소창) 목업 구조와 ✓ 3체크 형식 유지 · S05A 제외로 «결과물 선례» 역할을 이 장이 겸한다,1.3,커리큘럼 1차시 실습5 «브라우저 실행» · 브리프 §4 M2
VC-W1x-P5,part-04.html,58,PART 4 · 그대로 둘 것과 바꿀 것,한 번에 하나씩 바꾸고 나머지가 그대로인지 확인한다,파트 구분자,파트 디바이더,본편,1차시,part-05,1,M1,"제목 «그대로 둘 것과 바꿀 것»→«고치고 다시 확인하기» / 부제 «한 번에 하나씩 바꾸고, 나머지가 그대로인지 확인합니다»는 그대로",part-divider 클래스 유지 · 이 파트가 원 PART5(수정)와 PART6(오류 대응)을 함께 담는다,0.4,브리프 §4 M1 · 새 PART 구조 5종
VC-W1x-S44,part-04.html,59,수정 전에 정할 세 가지 — 유지할 것과 바꿀 것,그대로 둘 부분·바꿀 부분·화면에서 볼 점,수정 규율 개념,이미지+3필드,본편,1차시,part-05,2,M2,«이름·관심사·현재 구조처럼 이번 요청에서 건드리지 않을 것»→«단어 목록·점수 규칙·현재 구조처럼 이번 요청에서 건드리지 않을 것» / «한 줄 소개나 배경색처럼 지금 확인할 한 가지»→«제한 시간이나 글자 크기처럼 지금 확인할 한 가지»,«그대로 둘 부분 / 이번에 바꿀 부분 / 화면에서 볼 점» 3필드 구조 유지 — 이후 4장의 템플릿,0.8,커리큘럼 1차시 실습6 «제한 시간·점수·버튼·크기 중 한 가지 수정»
VC-W1x-S45,part-04.html,60,한 번 고칠 때의 흐름 — 남길 것을 적고 하나만 바꿉니다,여러 변경을 섞지 않아야 결과의 원인을 안다,수정 절차,3단 세로 흐름,본편,1차시,part-05,3,M2,«이름·관심사·나머지 구성처럼 바뀌면 안 되는 부분»→«단어 목록·점수 규칙·나머지 구성처럼 바뀌면 안 되는 부분»,«여러 변경을 섞지 않아 결과의 원인을 알 수 있습니다» 근거 문장 유지,0.8,커리큘럼 1차시 실습6 «한 가지 수정» · 브리프 §4 M2
VC-W1x-S46,part-04.html,61,한 줄 소개만 고치기,바꿀 문장과 남길 내용을 함께 말한다,실습 단계(수정 1/2),이미지+3필드,실습안내,1차시,part-05,4,M2,제목 «한 줄 소개만 고치기»→«제한 시간만 넣기» / «이번 요청 / 한 줄 소개만 [새 문장]으로 바꿔 달라고 말합니다»→«이번 요청 / 제한 시간 30초만 추가해 달라고 말합니다» / «그대로 둘 내용 / 이름·관심사·나머지 구성은 그대로 유지»→«그대로 둘 내용 / 단어 목록·점수 규칙·나머지 구성은 그대로 유지» / «다시 볼 장면 / 브라우저에서 새 문장 하나와 이전 구성의 유지 여부»→«다시 볼 장면 / 브라우저에서 남은 시간 표시 하나와 이전 구성의 유지 여부» / 킥커(s-team) «PART 5<br>한 줄 소개 수정»→«PART 5<br>제한 시간 추가» — 1행 PART 번호는 그대로,3필드(이번 요청/그대로 둘 내용/다시 볼 장면) 구조 유지,1.2,원문01 L126 «제한 시간을 추가해줘» · 커리큘럼 1차시 실습6
VC-W1x-S47,part-04.html,62,한 줄 소개를 바꾼 뒤 — 바뀐 점과 남은 점을 함께 봅니다,새로고침 후 변경과 유지를 함께 확인한다,실습 단계(재확인 1/2),3단 흐름,실습안내,1차시,part-05,5,M2,"제목 «한 줄 소개를 바꾼 뒤»→«제한 시간을 넣은 뒤» / «한 줄 소개만 변경»→«제한 시간만 추가» / «새 문장이 보이는지 먼저 확인합니다. 이어서 이름·관심사·나머지 배치가 이전과 같은지 비교합니다»→«남은 시간이 보이는지 먼저 확인합니다. 이어서 단어·입력칸·점수·나머지 배치가 이전과 같은지 비교합니다» / aria/alt: aria-label «한 줄 소개 변경, 새로고침, 변경과 유지 확인의 순서»→«제한 시간 추가, 새로고침, 변경과 유지 확인의 순서»",«새로고침 (F5)» 단계와 «바뀐 한 가지와 유지된 나머지를 모두 말할 수 있을 때 수정이 끝난 것입니다» 완료 판정 문장 유지,0.8,커리큘럼 1차시 실습7 «수정 결과 재확인»
VC-W1x-S48,part-04.html,63,배경색만 바꾸는 요청 — 바꿀 것·남길 것·확인할 것,한 요청에 세 가지를 함께 적으면 검토가 분명해진다,실습 단계(수정 2/2),3열 카드+터미널,실습안내,1차시,part-05,6,M2,"제목 «배경색만 바꾸는 요청»→«글자 크기만 바꾸는 요청» / «CHANGE 바꿀 것 / 배경색만 [원하는 색]으로 바꿉니다»→«CHANGE 바꿀 것 / 단어 글자 크기만 더 크게 바꿉니다» / «KEEP 남길 것 / 이름·한 줄 소개·관심사·나머지 배치를 유지합니다»→«KEEP 남길 것 / 단어 목록·점수 규칙·제한 시간·나머지 배치를 유지합니다» / «CHECK 확인할 것 / 새 배경에서 글자가 선명하고 이전 내용이 그대로인지 봅니다»→«CHECK 확인할 것 / 커진 글자가 화면을 넘치지 않고 이전 기능이 그대로인지 봅니다» / 터미널 «배경색만 [원하는 색]으로 바꿔 주세요. 나머지 내용과 구성은 그대로 유지하고, 글자가 잘 읽히는지도 확인해 주세요.»→«단어 글자 크기만 더 크게 바꿔 주세요. 나머지 기능과 구성은 그대로 유지하고, 글자가 화면을 넘치지 않는지도 확인해 주세요.» / 킥커(s-team) «PART 5<br>배경색 수정»→«PART 5<br>글자 크기 수정» — 1행 PART 번호는 그대로 / aria/alt: aria-label «배경색만 바꾸는 요청을 입력한 검정 터미널»→«글자 크기만 바꾸는 요청을 입력한 검정 터미널»",CHANGE·KEEP·CHECK 3배지 구조와 REQUEST TERMINAL 블록 유지,1.2,원문01 L128 «글자가 너무 작으니 크게 만들어줘» · 커리큘럼 1차시 실습6
VC-W1x-S49,part-04.html,64,배경색을 바꾼 뒤 — 새 배경과 같은 내용을 비교합니다,새로고침 → 바뀐 것만 바뀌었나 → 읽기 쉬운가,실습 단계(재확인 2/2),이미지+3점검,실습안내,1차시,part-05,7,M2,제목 «배경색을 바꾼 뒤»→«글자 크기를 바꾼 뒤» / «배경만 달라졌는지 / 색은 바뀌고 이름·소개·관심사·배치는 남아 있는지 봅니다»→«글자 크기만 달라졌는지 / 크기는 바뀌고 단어·점수·제한 시간·배치는 남아 있는지 봅니다» / «읽기 쉬운지 / 새 배경 위에서 글자가 충분히 선명한지 직접 확인합니다»→«읽기 쉬운지 / 커진 글자가 잘리거나 겹치지 않는지 직접 확인합니다» / 킥커(s-team) «PART 5<br>배경 확인»→«PART 5<br>크기 확인» — 1행 PART 번호는 그대로 / aria/alt: alt «배경만 바꾸고 내용은 유지하는 전후 관계 이미지»→«글자 크기만 바꾸고 내용은 유지하는 전후 관계 이미지»,«먼저 새로고침 / 이전 화면이 아니라 최신 저장본을 기준으로 봅니다» 첫 항목 유지,0.8,커리큘럼 1차시 실습7 · 브리프 §4 M2
VC-W1x-S50,part-04.html,65,원하는 한 가지를 더 바꾼 뒤 — 마지막 결정은 사람이 합니다,참고 자료는 통째로 복제하지 않고 특징 하나만 고른다,사람의 결정·마무리 규율,이미지+3필드,본편,1차시,part-05,8,M2,"«참고 자료를 볼 때 / 통째로 복제하지 않고 분위기·색·글자·여백·배치 중 특징 하나만 고릅니다»는 그대로 / «다시 요청할 때 / 고른 특징 하나만 바꾸고, 내 내용과 구조는 그대로 둔다고 적습니다»→«고른 특징 하나만 바꾸고, 내 단어 목록과 게임 규칙은 그대로 둔다고 적습니다» / «여기서 마칠 때 / 필수 내용과 읽기 쉬움이 맞으면»→«여기서 마칠 때 / 필수 기능과 읽기 쉬움이 맞으면»",«마지막 결정은 사람이 합니다» 결론과 «무엇을 확인했는지 기록합니다» 유지,0.8,브리프 §3 핵심 메시지 «사람이 결정한다»
VC-W1x-P6,part-05.html,66,PART 5 · 오류 대응과 마무리,디바이더를 새 PART 2에 재사용한다,파트 구분자,파트 디바이더,본편,1차시,part-02,1,M1,"«오류 대응과 마무리»→«AI를 믿는 방법» / 부제 «문제를 구분하고 실제 파일을 다시 확인하며 마무리합니다»→«AI가 자신 있게 말해도 사실이 아닐 수 있어, 의심하고 확인합니다.»",part-divider 클래스·PART 배지 구조 유지 · 원 파트(오류 대응)의 슬라이드 9장은 새 part-05로 이동하므로 메시지 유실 없음,0.4,브리프 §4 M1 · 디바이더 6장 중 5장만 필요해 재배치
VC-W1x-S52,part-05.html,67,무엇이 다른지 먼저 가르기 — 오류·요구 불일치·취향,같은 «안 됨»이어도 원인이 다르면 다음 행동이 다르다,오류 대응 개념,이미지+3분류,본편,1차시,part-05,9,M1,킥커(s-team) «PART 6<br>문제 구분»→«PART 5<br>문제 구분» — 이 한 곳 외에는 그대로 복사,3분류(오류/요구 불일치/취향 차이)와 각 대응 행동 유지 — 도구·소재 비종속,1.2,커리큘럼 1차시 실습 복구 단계 · 문구에 도구·소재 언급 없음
VC-W1x-S53,part-05.html,68,막혔을 때 이 순서대로 하나씩 확인합니다,파일 위치 → 저장 → 새로고침 → 다시 요청,오류 대응 절차,4단 세로 스텝,본편,1차시,part-05,10,M1,킥커 1행 외에는 그대로 복사(«그 폴더 안의 index.html»은 폴더명을 명시하지 않으므로 교체 불필요) / 킥커(s-team) «PART 6<br>확인 순서»→«PART 5<br>확인 순서»,4단계 순서와 «한꺼번에 고치지 않고 위에서부터 하나씩 봅니다» 결론 유지,1.2,복구 여유 구간의 기준 슬라이드 · 도구 비종속
VC-W1x-S54,part-05.html,69,막혔을 때 첫 확인 — 파일 위치부터 바로잡습니다,최근 목록이나 기억이 아니라 실제 파일을 연다,복구 단계(1/4),탐색기 목업,실습안내,1차시,part-05,11,M1+M2,브레드크럼 «C: › VibeCoding › about-me»→«C: › VibeCoding › typing-game» / 현재 경로 «C:\VibeCoding\about-me\»→«C:\VibeCoding\typing-game\» / 킥커(s-team) «PART 6<br>경로 확인»→«PART 5<br>경로 확인»,«다른 폴더에 같은 이름의 파일이 있다면 먼저 위치부터 맞춘 뒤 다음 확인으로 갑니다» 유지,0.8,폴더명 교체 연동(S34와 동일) · 브리프 §4 M2
VC-W1x-S55,part-05.html,70,파일에 최신 내용이 있는지 — 저장된 상태를 확인합니다,저장과 새로고침은 서로 다른 두 단계다,복구 단계(2/4),3단 흐름,실습안내,1차시,part-05,12,M1,킥커(s-team) «PART 6<br>저장 확인»→«PART 5<br>저장 확인» — 이 한 곳 외에는 그대로 복사,«저장과 새로고침은 서로 다른 두 단계입니다» 결론 유지 — 초보자 최다 실패 지점,0.8,도구·소재 비종속 · index.html 파일명만 등장
VC-W1x-S56,part-05.html,71,저장 다음에 하는 일 — 브라우저를 다시 새로고침합니다,저장된 파일을 기준으로 새로고침한다,복구 단계(3/4),이미지+2단 스텝,실습안내,1차시,part-05,13,M1,킥커(s-team) «PART 6<br>새로고침»→«PART 5<br>새로고침» — 이 한 곳 외에는 그대로 복사,«파일 위치·저장·새로고침을 한꺼번에 고치지 않고 순서대로 봅니다» 유지,0.8,도구·소재 비종속
