원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W2-A3F2,part-03.html,47,ChatGPT와 Codex 역할표,두 도구는 묻는 질문이 다르다 — 무엇을·왜 대 어떻게 저장할지,비교,2열 카드+비교표,수정,2차시,PART1,8,M2,"헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 1」 · 제목「ChatGPT와 Codex 역할표」→「AI Chat과 Coding Agent 역할표」 · 카드 제목「Codex」→「Coding Agent(Google Antigravity)」 · 표 헤더「ChatGPT / Codex」→「AI Chat / Coding Agent」 · 도입 문장의 도구명 2곳 교체(정규식 실측 Codex 4곳 · ChatGPT 4곳 전량) · 주석 7줄(HTML 본문 1곳 part-03.html:708 + CSS 블록 주석 6줄 part-03.html:152·155·156·157·159·161 「A3F2 · ChatGPT/Codex 역할표」 설명 블록)도 새 도구명으로 갱신 — 화면에는 안 나오나 다음 담당자를 오도한다(attempt-03 정정 — 구 「주석 1곳」은 CSS 블록 주석 6줄을 놓쳤다) · palette-x는 해제(확정) — palette-x 보유는 원본 전체 2장(A3F2·C5-5)이라 2장 유지 시 새 덱 예산 max(1,int(77*0.02))=1장을 넘어 FAIL이다(attempt-03 정정 — 구 서술은 A3F2 1장만 보고 예산 계산). #10A37F(OpenAI 그린)의 근거 문장이 M2로 사라지는 A3F2를 해제한다 — --accent-gpt를 var(--mint-deep)로 바꾸고 rc-card.is-gpt의 palette-x 표식을 뗀다. C5-5는 유지해 예산 1/1을 채운다(결정요청 D-11 확정) · CSS 셀렉터(--accent-gpt · .is-gpt · .is-codex · .col-gpt · .col-codex)는 렌더되지 않으므로 M2 대상이 아니다",비교표 5행(핵심 역할·주요 질문·주요 산출물·사용 시점·강점) 전문(part-03.html:738-742) · 「무엇을·왜」 대 「어떻게」 축 · w2-annex 클래스 — 본편 승격 후에도 제거하지 않는다(.w2-annex는 .s-eyebrow만 스타일하고 이 슬라이드에 .s-eyebrow가 없어 렌더 영향 0 · layout_families 미등재라 구도 3연속 판정에도 무관),1.75,지시된 「개발 역할 지도」의 실체 · 원문 01 「AI Chat과 Agent는 무엇이 다른가」의 2차시 재확인판 · 부록 출신이나 본편 승격
VC-W2-C3-5,part-03.html,48,실습 ⑤ prd.md 만들기,AI Chat 초안 → 사람이 최소 1개 수정 → 파일로 저장,실습안내,실습 3단계+이미지,통합,2차시,PART5,34,M5,C5-9(기존 웹에 기준 적용 실습)에 흡수 — 「사람이 읽고 최소 1개 수정: 판단이 담긴 문장으로 직접 바꿉니다」 단계를 통합본에 반드시 남긴다 · ⚠️ 흡수 문구 밖을 가져오지 않는다 — 1단계 「ChatGPT로 5항목 초안 만들기」·3단계 「Codex로 prd.md 저장」·aria-label(part-03.html:767)에 옛 도구명 3곳이 있다. 흡수 대상은 「사람이 읽고 최소 1개 수정」 단계뿐이며 거기엔 도구명이 없다,「사람이 읽고 최소 1개 수정」 단계 문구(작성자·검토자 분리의 최소 실천),0,prd·design·AGENTS 실습 3종을 뒤 50분에 다 넣을 시간이 없음 — 기준 적용 실습 1장으로 M5 통합
VC-W2-C3-P5,part-03.html,49,prd.md를 만들 때 이렇게 요청합니다,재료(정의·기능·흐름·완료 기준)를 먼저 주고 5항목 초안 요청 · 모르는 것은 [확인 필요]로,예시프롬프트,프롬프트 카드,통합,2차시,PART5,36,M5,"C5-9P(기준 적용 예시 프롬프트)에 흡수 — 「제가 안 적은 기능은 만들지 말고, 모르는 것은 [확인 필요]로 남기세요」 문장을 통합본에 반드시 남긴다 · ⚠️ 카드 헤더 「ChatGPT · prd.md 5항목 초안」(도구명 1곳)은 옮기지 않는다 — 헤더는 흡수처 C5-9P의 「Google Antigravity · design.md 적용」을 쓴다. 흡수 대상은 프롬프트 본문 한 문장뿐",「모르는 것은 [확인 필요]로 남기세요」 = 할루시네이션 억제 지시문,0,C3-5 통합에 따른 짝 슬라이드 통합
VC-W2-C5-11,part-03.html,50,한 파일에서 여러 파일로,역할이 다르면 파일을 나눈다 — 이름·개수는 바뀌어도 기준은 안 바뀐다,개념,폴더도+표,제외,없음,없음,없음,없음,3차시로 이관 후보 — 3차시 개념 「원본과 파생 결과물의 분리」에 직결,없음,0,2차시 대응 없음 · 3차시 담당에게 넘길 후보로 등재
VC-W2-C3-6,part-03.html,51,실습 ⑥ 화면 만들기 — 프레임워크 없이,prd.md 기준으로 역할별 파일을 나눠 순수 HTML·CSS·JS로 만든다,실습안내,실습 2단계+폴더도,제외,없음,없음,없음,없음,3차시로 이관 후보 — 3차시 필수 산출물 「단일 HTML 데이터 대시보드」의 «프레임워크 없이» 원칙에 직결 · 웹 제작 실습 자체는 1차시와 중복,없음,0,2차시 실습 슬롯은 뉴스 Agent · 「React 같은 프레임워크는 쓰지 않습니다」 원칙은 3차시 재사용 가치가 큼
VC-W2-C3-N3,part-03.html,52,prd.md를 어떻게 넘기나,방법 A 채팅창에 붙여넣기 대 방법 B 폴더에 파일로 두고 «읽어라»라고 시키기,비교,비교2단+폴더도+프롬프트,수정,2차시,PART4,29,M2,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 4」 · 프롬프트 카드 헤더「Codex · 내-프로젝트 · 실습 ⑥ 화면 만들기」→「Google Antigravity · 내-프로젝트」 · 나머지 본문 무변경 · aria-label(`.c3n3-prompt`) 「실습 ⑥ 예시 프롬프트 — …」→「예시 프롬프트 — …」(앞의 「실습 ⑥ 」 제거 · 카드 헤더와 같은 사유) · 2026-09-11 사용자 결정(U11 · M4 동반): 프롬프트를 기존 화면을 «고쳐 주세요» 요청으로 — «화면을 만들어 주세요 · 순수 HTML·CSS·JS만 · 파일 구성은 스스로 정하되» 줄을 1차시 웹 수정 맥락으로 교체 · 보존유보(방법 B) 불변,「방법 B · 이 수업이 쓰는 방식 — 파일이 폴더에 남아 다음 대화도 같은 기준을 읽습니다」 전문 · 방법 A/B 대비 구조,2.0,강제 메시지 「중요한 기준은 대화가 아니라 파일에 남긴다」의 정본 슬라이드 — 슬라이드지침 강제 메시지 3번
VC-W2-P4,part-04.html,53,화면과 핵심 기능,PART 4 구획,구획,divider,수정,2차시,PART5,32,M4,"헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 제목「화면과 핵심 기능」→「Harness — 도구·권한·검증, 그리고 기준 적용」 · 부제「정보 구조·문구·가독성 기준을 design.md에 담아 화면에 적용한다」→「1차시에 만든 웹에 기준을 적용하고, AI가 일할 환경을 갖춘다」 · divider ID 재부여 규칙에 따라 화면 data-slide가 「P5」로 바뀐다(새 PART 5 위치 기준) · 조립 결과 확인: 제목/부제 문자열이 « — » 앞뒤로 pd-title=「Harness」/ pd-desc 1행=「도구·권한·검증, 그리고 기준 적용」·2행=부제로 나뉘어 화면에 실렸다(문자열 전부 유지)",part-divider 구조,0.5,"divider 재사용 — 구조 불변, 문구만 M4"
VC-W2-M5,part-04.html,54,4교시 이렇게 배웁니다,4교시 5단계 로드맵,도입,과정도(5단계),통합,2차시,PART5,33,M5,M4(뒤 50분 로드맵)에 흡수 — 로드맵 5장을 블록 로드맵 2장으로 통합,5단계 산출물 라벨 형식,0,로드맵 통합 정책(M2·M3과 동일)
VC-W2-C5-UIUX-1,part-04.html,55,"UI 는 보이는 접점, UX 는 경험 전체입니다","UI는 접점, UX는 사용 전후 전체 경험",개념,2열 카드+빙산 이미지,제외,없음,없음,없음,없음,3차시로 이관 후보 — 3차시 「단일 HTML 데이터 대시보드」 설계의 전제 개념,없음,0,2차시 개념 목록에 UI·UX 없음 · 3차시 담당에게 넘길 후보로 등재
VC-W2-C5-UIUX-2,part-04.html,56,(제목 없음 · UI/UX 예시 이미지 3종),UI/UX 예시 3종 이미지,개념,이미지 3종,제외,없음,없음,없음,없음,3차시로 이관 후보 · 원본 특이사항 — 이 슬라이드에는 s-title이 없고 이미지 3장(image 34/35/36.png)만 있음,없음,0,112장 중 제목 없는 유일한 슬라이드 · 이미지 파일명이 일반명이라 출처·사용조건 미확인 — 결정요청 D-05
VC-W2-C5-1,part-04.html,57,정보 구조,화면에 보이는 메뉴는 빙산의 일각 — 무엇을 어디에 둘지 정하는 일,개념,빙산도+정의,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 정보 구조 설계에 직결,없음,0,2차시 개념 목록에 정보 구조 없음
VC-W2-C5-2,part-04.html,58,화면 순서·정보 우선순위,같은 내용도 순서와 크기만 바꾸면 한눈에 읽힌다,비교,화면목업 2단,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 필수 요소 「가장 중요한 KPI를 상단에 크게」에 직결,없음,0,원문 01 3차시 8번 항목과 대응
VC-W2-C5-3,part-04.html,59,화면 문구,버튼·안내·오류 문구도 화면 설계의 일부,비교,2열 대비표,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 라벨·단위 표기에 직결,없음,0,2차시 개념 목록에 없음
VC-W2-C5-4,part-04.html,60,기본 가독성·접근성,색은 쓰되 색만으로는 말하지 않는다,개념,시야 시뮬 2단,제외,없음,없음,없음,없음,3차시로 이관 후보 — 슬라이드지침 「차트에는 축·단위·범례」와 직결,없음,0,2차시 개념 목록에 없음
VC-W2-C5-21,part-04.html,61,글자와 배경은 밝기 차이를 둡니다,색이 예뻐도 배경과 밝기가 비슷하면 글자가 묻힌다,개념,3칸 대비 견본,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 가독성,없음,0,2차시 개념 목록에 없음
VC-W2-C5-19,part-04.html,62,"색을 정하는 순간, 브랜드의 무드가 결정됩니다",컬러는 보는 순간 무드를 정한다,개념,색견본 4종,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 색 선택,없음,0,2차시 개념 목록에 없음
VC-W2-C5-20,part-04.html,63,색마다 따라오는 감정,주고 싶은 느낌을 먼저 고르고 그 느낌의 색을 쓴다,개념,색견본 8종,제외,없음,없음,없음,없음,3차시로 이관 후보 — 차트 색 선택,없음,0,2차시 개념 목록에 없음
VC-W2-A6F1,part-04.html,64,반응형 — 좁은 화면에서도 무너지지 않게,폭이 줄어도 설명→입력→실행→결과 순서가 유지돼야 한다,개념,3단계+이미지,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 반응형,없음,0,2차시 개념 목록에 없음
VC-W2-C5-5,part-04.html,65,화면 기준을 담은 design.md,"같은 요청, 다른 결과 — 차이는 기준을 넘겼는가뿐",비교,비교2단+메모카드,수정,2차시,PART3,21,M2,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 3」 · 「나도 Codex도 같은 기준을 봅니다」→「나도 Agent도 같은 기준을 봅니다」(도구명 1곳) · 「2주차 4교시」→「2차시」 · palette-x 유지(기존 보유 · 예산 1/1 소진 · attempt-03 신설) — palette-x 보유는 원본 전체 2장(A3F2·C5-5)이고 A3F2는 해제하므로 이 장이 유일하게 예산을 쓴다. 근거는 mm-memo 메모지 색(--accent-note:#FDF3C7 · shell.html:1263 · R-COLOR-06 명시 예외)으로 도구명과 무관해 M2 교체와 충돌하지 않는다(결정요청 D-11 확정),「기준 없이 / 기준을 주고」 2단 대비 · 「요청할 때마다 색도 문구도 달라집니다」 · w2-memo 구도,1.5,커리큘럼 「Context Engineering: 프로젝트 설명·자료·규칙」의 체감 슬라이드 — 기준 문서를 컨텍스트로 넘긴 효과를 눈으로 보여줌
VC-W2-C5-6,part-04.html,66,디자인 시스템,값 → 이름 → 재사용 세 걸음,개념,연결도,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 토큰화,없음,0,2차시 개념 목록에 없음
VC-W2-C5-7,part-04.html,67,레퍼런스는 복사가 아니라 관찰,검색해서 나온다고 무료가 아니다 — 이미지·글꼴은 출처와 사용 조건을 먼저 확인한다,개념,3단계+이미지,수정,2차시,PART7,63,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 7」 · 「2주차 4교시」→「2차시」 · 본문 무변경,「검색해서 나온다고 무료가 아닙니다. 이미지·글꼴은 출처와 사용 조건을 먼저 확인합니다.」 문장 전문 · 금지→관찰→결정 3단계,2.0,커리큘럼_기준안 2차시 개념 「출처 확인」의 유일한 원본 대응 슬라이드 — 뉴스 기사 출처 확인으로 이어짐
VC-W2-C5-8,part-04.html,68,실습 ⑦ 레퍼런스 1개 관찰,색·여백·순서·문구 중 무엇을 참고하고 무엇은 안 할지 적는다,실습안내,실습 2단계,제외,없음,없음,없음,없음,3차시로 이관 후보 · 2차시 실습 슬롯은 뉴스 Agent로 고정,없음,0,디자인 관찰 실습을 넣을 시간 없음
VC-W2-A4R1,part-04.html,69,레퍼런스를 그대로 복사했을 때,복제했다면 특성만 뽑아 내 구조에 다시 적용한다,복구,복구 2단계+프롬프트,실습안내,2차시,PART6,59,M6,"헤더 s-team 「2주차<br>4교시」→「2차시<br>PART 6」(M1 동반) · 제목 「레퍼런스를 그대로 복사했을 때」→「뉴스 조사가 막혔을 때」 · 2단계 본문을 «① 검색 결과가 나오지 않을 때 — 조사 대상·기간을 좁혀 다시 요청한다 / ② 결과가 비었을 때 — 원문 링크를 직접 열어 확인하고, 못 찾으면 [확인 필요]로 남긴다»로 신규 집필(M6 · 원문 01의 «원문 확인»·«검증 기준»만 근거) · 프롬프트 카드 헤더 「ChatGPT · 레퍼런스 관찰」→「Google Antigravity · 뉴스 재검색」과 aria-label 「ChatGPT · 레퍼런스 관찰 예시 프롬프트」→「Google Antigravity · 뉴스 재검색 예시 프롬프트」(M2 동반 · ChatGPT 2곳 · part-04.html:925-926) · 이미지 슬롯 s104_reference-copied-…png는 «레퍼런스 복제» 도해라 내용이 맞지 않으므로 빼고 has-img-r 클래스도 함께 뺀다",w2-annex is-recovery 클래스와 복구 슬라이드 골격(제목 + eval-steps 2단계 + terminal-dark 프롬프트 카드) — 원본 112장 중 유일한 복구 서식 · .w2-annex.is-recovery .s-eyebrow가 코랄 배지를 칠하므로 s-eyebrow(예: 「PART 6 · 막혔을 때」)를 넣으면 원본 CSS가 그대로 살아난다 · vf-down 화살표와 work-step 번호 배지,0.5,부활(오케스트레이터 결정 2026-09-10) — 원본 112장에 복구 슬라이드가 이 1장뿐이라 빼면 새 덱에 복구 안내 서식이 없다 · 뉴스 실습은 외부 검색 결과에 의존해 «결과가 안 나온다»가 실재하는 실패 경로다 · PART 6 뉴스 실습(N-16 검증) 뒤·N-19(Schedule) 앞에 배치 · 2026-09-11 N-16 삭제로 위치는 N-17 뒤·N-19 앞(순서 59)
VC-W2-C5-9,part-04.html,70,실습 ⑧ design.md 쓰고 화면에 두 가지 적용하기,문서만 쓰고 끝내지 말고 실제 화면에 최소 2가지를 적용한다,실습안내,실습 2단계+주의,실습안내,2차시,PART5,34,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「Codex에게 design.md를 근거로 화면을 고치라고 요청합니다」→「Google Antigravity에게 …」 · 실습 대상을 「1차시에 만든 타자 게임 폴더」로 명시(M4 동반) · C3-5의 「사람이 읽고 최소 1개 수정」 단계 흡수(M5) · R-BUILD2-02 정정(C5-8 제외로 상호참조 해소): 실습 1단계 설명 「색·여백·순서·문구처럼 앞서 관찰한 특성을 한두 줄로 정리합니다.」→「색·여백·순서·문구 중 지킬 것을 한두 줄로 정리합니다.」 · 2026-09-11 사용자 결정(U4): 1단계를 «design.md 만들기»로 — 방법 A 직접 한두 줄 / 방법 B 게임 화면 캡처 → AI Chat에 기준 정리 요청(35쪽 N-24) → Google Antigravity로 design.md 저장 · 2단계(사람이 최소 1개 수정)·3단계(화면에 2가지 적용) 유지 · 참가자 실작업 3.0분 배정(계획 D6 · 예상분 1.5는 강의 분만),「문서만 쓰고 끝내기 — design.md에 적기만 하고 화면은 그대로 두면 반영되지 않습니다 / 대신 화면을 직접 열어 2가지가 바뀌었는지 확인합니다」 경고 블록 전문,1.5,지시된 뒤 50분 「기존 웹에 기준 적용」의 실체 슬라이드 · 강제 메시지 「AI의 완료는 완료 증거가 아니다」의 실습판
VC-W2-C5-9P,part-04.html,71,design.md를 화면에 적용할 때 이렇게 요청합니다,기준 2가지·건드리지 말 것·애매하면 먼저 물어보기,예시프롬프트,프롬프트 카드,실습안내,2차시,PART5,36,M2,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 카드 헤더「Codex · design.md 적용」→「Google Antigravity · design.md 적용」 · C3-P5의 「모르는 것은 [확인 필요]로 남기세요」 문장 흡수(M5) · 실습 번호 「실습 ⑧」→「실습 ①」(새 덱 순서 재번호 · M4 · R-BUILD2-03 경미 D),「design.md에 없는 기준은 만들지 마세요. 바꿀 곳이 애매하면 고치지 말고 저에게 먼저 물어봐 주세요.」 전문 · 「절대 건드리지 말 것」 슬롯,1.0,프롬프트에 «금지»와 «확인 요청»을 넣는 형식이 Prompt 절의 조건·완료 기준과 이어짐
VC-W2-C5-13,part-04.html,72,주소창으로 실행 방식을 구분합니다,file:// 직접 열기와 http://localhost 서버 방식의 차이,비교,비교2단,제외,없음,없음,없음,없음,3차시로 이관 후보 — 3차시 마지막 「정적 HTML 배포 방식 소개」의 선행 개념,없음,0,2차시 개념 목록에 없음 · 커리큘럼 「배포는 3차시 마지막 시연」
VC-W2-C5-15,part-04.html,73,핵심 기능은 한 단계씩,그냥 다 시키면 범위가 부풀고 AI가 추측으로 채우는 부분이 늘어난다,개념,3단계+경고+이미지,제외,없음,없음,없음,없음,2026-09-11 사용자 결정(U8)으로 삭제 — 68쪽 C6-S5(핵심 기능은 한 단계씩 만들고 확인합니다)와 중복 · 뉴스 실습 한가운데(N-15 저장 뒤 · N-16 검증 앞)에 끼어 흐름을 끊음 · 이전 처분(수정 · PART6 57 · M2 Codex→Agent 1곳 · 예상분 1.0)은 철회,없음,0,2026-09-11 사용자 결정 — 68쪽 C6-S5와 «한 단계씩» 중복 · 뉴스 실습 중간 위치 · 이전 판정근거(뉴스 Agent 실습을 단계로 쪼개는 근거 · C6-S5와 축이 갈린다)는 사용자 결정으로 대체
VC-W2-C5-16,part-04.html,74,실습 ⑨ 추후 계획에서 꺼내 기능 추가하기,미뤄 둔 기능 하나만 추가하고 기존 기능이 그대로인지 확인,실습안내,실습 2단계,제외,없음,없음,없음,없음,기능 추가 실습 — 2차시 실습 슬롯은 뉴스 Agent로 고정,없음,0,「추후 계획」이 2차시에 존재하지 않음(C2-5 제외에 연동)
VC-W2-C5-16P,part-04.html,75,미뤄 둔 기능 하나를 꺼내 추가합니다,기능 하나 추가 프롬프트 예시,예시프롬프트,프롬프트 카드,제외,없음,없음,없음,없음,C5-16 제외에 연동 — 대응 실습 없음,없음,0,짝 슬라이드 동반 제외
VC-W2-C5-18,part-04.html,76,"수정 전, 마지막 작동 상태를 지킵니다",고치기 전에 되돌아갈 기준을 남긴다(폴더 통째 복사),개념,백업 도식,제외,없음,없음,없음,없음,3차시로 이관 후보 — 3차시 강제 메시지 「원본 데이터는 수정하지 않는다」·개념 「원본과 파생 분리」의 직접 대응,없음,0,3차시 이관 후보 중 최우선 · 2차시 뉴스 Agent에는 되돌릴 원본이 없어 대응이 약함
VC-W2-P5,part-05.html,77,AI 작업 시스템,PART 5 구획,구획,divider,수정,2차시,PART6,49,M4,헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 제목「AI 작업 시스템」→「AI 뉴스 조사 Agent」 · 부제「만들며 겪은 반복을 규칙 파일·Skill·서브에이전트로 줄인다」→「역할과 기준을 정해 반복되는 조사 업무를 맡긴다」,part-divider 구조,0.5,"divider 재사용 — 구조 불변, 문구만 M4"
VC-W2-M4,part-05.html,78,5교시 이렇게 배웁니다,5교시 4단계 로드맵,도입,과정도(4단계),수정,2차시,PART5,33,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「2주차 5교시」→「2차시 · 뒤 50분」 · 4단계를 뒤 50분 로드맵으로 교체(기준 적용 → Harness 기초 → 뉴스 Agent → 검토·출처) · 산출물 라벨 형식 유지 · M5(4교시 로드맵) 흡수(M5) · 2026-09-11 사용자 결정(계획 §2-4): 1단계 산출물 «바뀐 화면 2가지» → «design.md · 바뀐 화면 2가지» · 4단계 산출물 «검증 기록» → «원문 확인»(N-16 삭제),w2-roadmap 구도 · 「산출물 · …」 라벨 형식,1.0,뒤 50분 블록 로드맵 — 앞 50분은 M1이 담당
VC-W2-C4-1,part-05.html,79,Workflow vs Agent,순서를 사람이 미리 정해 두는 것과 상황을 보고 스스로 정하는 것,비교,좌우 축비교,수정,2차시,PART5,37,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「2주차 5교시」→「2차시」 · 본문 무변경,제어권·예측·비용 3행 비교 · 「◀ 다음 할 일을 누가 정하나 ▶」 축 라벨 · 두 예시 문장,1.0,커리큘럼 「Loop」·「Graph」 도입의 전제 — Agent가 «스스로 다음 단계를 고른다»는 정의를 세운다
VC-W2-C4-N0,part-05.html,80,"에이전트는 고를 수 있지만, 혼자 일하진 못합니다",선택을 실제로 실행하고 확인해 줄 구조(하네스)가 필요하다,개념,비교2단+이미지,수정,2차시,PART5,38,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「2주차 5교시」→「2차시」 · 본문 무변경,「하네스 엔지니어링은 에이전트가 고른 다음 행동을 실행·확인·다음 판단으로 연결하는 작업 환경 설계입니다」 정의 문장 전문,1.0,Harness 필요성 도입 — 커리큘럼 「Harness Engineering: 파일 · 도구 · 권한 · 검증 환경」의 전제
VC-W2-C4-H1,part-05.html,81,힘센 말도 마구 없이는 목적지로 가지 못합니다,마구는 힘을 줄이는 장치가 아니라 힘을 목적지와 연결하는 장치,개념,비유 4단+이미지,수정,2차시,PART5,39,M1,헤더 s-team 「2주차<br>5교시」→「2차시<br>부록」(PART 라벨 주입 안 함) · 「2주차 5교시」→「2차시」 · 본문 무변경 · 부록(강사 선택) 구획으로 이동 · 2026-09-11 사용자 지시로 부록에서 본편 PART 5로 복귀(C4-N0 뒤 · 원본 순서) · 헤더 「2차시<br>부록」→「2차시<br>PART 5」,말 / 마구·고삐 / 수레·도구 / 확인 문 4칸 대응 전문,1.0,비유가 좋으나 뒤 50분이 실습 시간이라 본편에 넣을 여유가 없음 — 강사가 필요할 때 점프해 쓰는 부록으로 보존 · 2026-09-11 부록 사유(시간 여유 없음)는 PART 5 여유 4.5→2.5분으로 흡수
VC-W2-C4-2,part-05.html,82,하네스 엔지니어링이란?,AI가 일하는 동안 환경·도구·규칙·확인 구조를 설계하는 일,개념,정의+3단계 도식,수정,2차시,PART5,40,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「2주차 5교시」→「2차시」 · 본문 무변경 · 노트 정합(화면 변경 없음): 「(비유 장은 부록 A1)」→「(비유 장은 부록 73쪽)」(C4-H1 실제 쪽 반영) · 2026-09-11 사용자 결정(U5 · M4 동반): C4-16 삭제에 따라 «판단 → 실행 → 확인 → 다음 판단을 되풀이하는 것이 Loop» 한 줄 추가(커리큘럼 «Loop» 대응 흡수) — 위 «본문 무변경»은 이 한 줄만큼 대체,한 문장 정의 「AI가 일하는 동안 환경·도구·규칙·확인 구조를 설계하는 일」 · 판단을 받는다·실행을 연결한다·결과를 돌려준다 3단계 · 「잘해라고 더 길게 말하는 것이 아니라」 결론,1.5,커리큘럼 「Harness Engineering」의 정의 슬라이드 · 원문 01 「Agent가 안정적으로 일할 수 있도록 주변 환경을 설계」와 일치 · 2026-09-11: C4-16 삭제로 커리큘럼 «Loop»의 대응 장을 겸한다
VC-W2-C4-16,part-05.html,83,하네스가 실제 일을 잇는 방식,판단 → 도구 실행 → 확인 → 다음 판단으로 돌아감,개념,4단계 순환도+이미지,제외,없음,없음,없음,없음,2026-09-11 사용자 결정(U5)으로 삭제 — 옛 36·38쪽(C4-N0·C4-2)과 같은 반복 구조 중복 · 커리큘럼 «Loop» 대응은 C4-2에 «판단 → 실행 → 확인 → 다음 판단을 되풀이하는 것이 Loop» 한 줄로 흡수 · 이전 처분(수정 · PART5 39 · M1 헤더만 · 예상분 1.5)은 철회,없음,0,2026-09-11 사용자 결정 — C4-N0(선택을 실행·확인해 줄 구조)·C4-2(판단을 받는다 · 실행을 연결한다 · 결과를 돌려준다)와 같은 반복 구조를 한 번 더 보여 줘 중복 · Loop는 C4-2 한 줄로 흡수 · C4-N4 리드 «방금 본 반복»은 C4-2를 가리키게 됨(계획 §2-1 확인 항목) · 이전 판정근거(커리큘럼 «Loop: 실행 → 확인 → 수정 → 재실행»의 정본 · 4단계 1:1 대응)는 사용자 결정으로 대체
VC-W2-C4-N4,part-05.html,84,"하네스, 사실 별거 아닙니다",범위·순서·증거·멈춤 네 문장이 이미 하네스,개념,4칸 카드,수정,2차시,PART5,41,M4,헤더 s-team 「2주차<br>5교시」→「2차시<br>부록」(PART 라벨 주입 안 함) · 「prd.md를 먼저 읽고 시작한다」는 유지(파일명이 2차시에도 그대로 쓰임) · 「2주차 5교시」→「2차시」 · 부록 구획으로 이동 · R-BUILD2-02 정정(부록 순서 — 직전 장 C4-H1이 반복을 보여 주지 않음): 리드 「방금 본 반복 안에」→「AI가 일하는 반복 안에」 · 2026-09-11 사용자 지시로 본편 복귀(C4-16 뒤 · 원본 순서) · 헤더 「2차시<br>부록」→「2차시<br>PART 5」 · 리드 「AI가 일하는 반복 안에」→원본 「방금 본 반복 안에」 복원(직전 장이 C4-16이 되어 원본 참조가 다시 성립) · 2026-09-11 사용자 결정(U5·U7): C4-16 삭제로 직전 장이 C4-2가 되어 리드 «방금 본 반복»은 C4-2의 Loop 한 줄을 가리킨다(계획 §2-1 확인 항목) · «prd.md를 먼저 읽고 시작한다» → «design.md를 먼저 읽고 시작한다»(위 «유지» 판정 대체),범위·순서·증거·멈춤 4문장 전문 · 「끝났다는 말 대신 확인할 수 있는 것을 요구합니다」,1.0,C4-4(하네스 6구성요소)와 메시지가 겹쳐 본편에서는 C4-4를 쓰고 이 장은 부록으로 보존 — 강사가 쉬운 버전을 원할 때 점프 · 2026-09-11 C4-4와의 메시지 중복은 사용자 지시로 수용
VC-W2-C4-12,part-05.html,85,프롬프트 · 컨텍스트 · 하네스,"프롬프트가 컨텍스트 안에, 컨텍스트가 하네스 안에 · 모델이 스스로 못 하는 세 가지(저장·기억·확인)",개념,중첩도+3항목,수정,2차시,PART3,19,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 3」 · 「2주차 5교시」→「2차시」 · 본문 무변경 · 상호참조 문구 정정(R-BUILD2): 리드 「방금 본 범위·순서·증거·멈춤은 …」의 「방금 본」이 부록으로 옮겨진 `C4-N4`(부록 A2)를 가리켜 더는 맞지 않음 — 「방금 본」 제거 뒤 「같은 약속」을 붙여 「범위·순서·증거·멈춤 같은 약속은」으로 정정(부록 C4-N4 참조 해소 · attempt-03 반영),중첩 정의 3개(하네스·컨텍스트·프롬프트) 전문 · 「기억 — 한 번에 담는 양에 상한이 있습니다. 앞 대화가 상한을 넘으면 밀려나 사라집니다」 문장,3.0,2차시 개념 3개(Prompt·Context·Harness)의 관계를 한 장에 담은 최상급 보존 슬라이드 · 「기억」 항목이 Lost in the Middle 신규 슬라이드(N-06)의 직전 발판
